768    3.186e-09  1  1.306e-09
1102   4.789e-09  1  1.598e-09
808    3.472e-09  1  1.046e-09
984    6.111e-09  1  1.771e-09
1102   4.942e-09  1  1.626e-09
1104   3.069e-09  1  1.281e-09
431    6.31e-10   1  5.81e-10
974    4.336e-09  1  1.475e-09
1036   6.344e-09  1  1.843e-09
1114   3.203e-09  1  1.236e-09
984    4.113e-09  1  1.393e-09
982    5.561e-09  1  1.669e-09
1058   6.537e-09  1  1.736e-09
561    2.53e-09   1  1.08e-09
619.6  2.526e-09  1  1.102e-09
710.2  1.808e-09  1  9.54e-10
1018   3.757e-09  1  1.375e-09
627.6  1.806e-09  1  9.53e-10
594.8  3.356e-09  1  1.338e-09
964    3.797e-09  1  1.424e-09
